genre_id,genre
0,Sci-Fi
1,Adventure
2,Action
3,Strategy
4,Role-Playing
5,Driving
6,Action Adventure
7,Miscellaneous
8,Simulation
9,Sports
10,Puzzle
11,Beat-'Em-Up
12,General
13,First-Person
14,Pinball
15,Wargame
16,Modern
17,Shooter
18,Fantasy
19,Compilation
20,Action RPG
21,Dancing
22,Street
23,PC-style RPG
24,Music
25,Sim
26,Platformer
27,Rally / Offroad
28,Board Games
29,Olympic Sports
30,Formula One
31,WWII
32,Massively Multiplayer Online
33,Ice Hockey
34,Horror
35,GT / Street
36,Music Maker
37,Historic
38,Fighting
39,Edutainment
40,Tycoon
41,Alternative
42,Arcade
43,3D
44,Party
45,Card Battle
46,Tactical
47,Console-style RPG
48,Traditional
49,Third-Person
50,WWI
51,Virtual Life
52,Real-Time
53,Scrolling
54,Flight
55,Racing
56,City Building
57,2D
58,Japanese-Style
59,Breeding/Constructing
60,Military
61,MOBA
62,Futuristic
63,Western-Style
64,4X
65,Turn-Based
66,Rail
67,Other